,property_id,suburb,city,state,country,latitude,longitude,location
138,641123,Waverley,Sydney,NSW,Australia,-33.9045,151.25699,"9 Leichhardt St, Waverley NSW 2024"
139,651495,Clovelly,Sydney,NSW,Australia,-33.91417,151.26264,"1 Melrose Parade, Clovelly NSW 2031"
140,651796,Maroubra,Sydney,NSW,Australia,-33.946529999999996,151.24243,"159S Fitzgerald Ave, Maroubra NSW 2035"
141,653240,Bondi Junction,Sydney,NSW,Australia,-33.89612,151.25326,"31-33 Botany St, Bondi Junction NSW 2022"
142,653534,North Bondi,Sydney,NSW,Australia,-33.8824,151.27103,"15 Gilgandra Rd, North Bondi NSW 2026"
143,655953,Bondi Beach,Sydney,NSW,Australia,-33.8855,151.27462,"35 Blair St, Bondi Beach NSW 2026"
144,658720,Potts Point,Sydney,NSW,Australia,-33.866659999999996,151.22624,"14 Wylde St, Potts Point NSW 2011"
145,661144,Bondi Junction,Sydney,NSW,Australia,-33.894529999999996,151.25173999999998,"10A Allens Parade, Bondi Junction NSW 2022"
146,664353,Sydney,Sydney,NSW,Australia,-33.85583,151.19235,"26A Nicholson St, Balmain East NSW 2041"
147,677230,Elizabeth Bay,Sydney,NSW,Australia,-33.87123,151.23044,"97 Elizabeth Bay Rd, Elizabeth Bay NSW 2011"
148,686805,Darlinghurst,Sydney,NSW,Australia,-33.87591,151.22205,"1/274 Victoria St, Darlinghurst NSW 2010"
149,698338,North Bondi,Sydney,NSW,Australia,-33.88458,151.2772,"53 Oakley Rd, North Bondi NSW 2026"
150,698667,Manly,Sydney,NSW,Australia,-33.78682,151.28558,"Stella Maris College, 52 Eurobin Ave, Manly NSW 2095"
151,699480,Bondi,Sydney,NSW,Australia,-33.89411,151.26973999999998,"16 Edward St, Bondi NSW 2026"
152,701180,Campsie,Sydney,NSW,Australia,-33.90874,151.11143,"16 Bellombi St, Campsie NSW 2194"
153,701670,Kirrawee,Sydney,NSW,Australia,-34.04222,151.06819,"74 Bligh St, Kirrawee NSW 2232"
154,701914,Randwick,Sydney,NSW,Australia,-33.92305,151.24555,"64 Howard St, Randwick NSW 2031"
155,706428,Bondi Beach,Sydney,NSW,Australia,-33.8905,151.27261000000001,"32 Hall St, Bondi Beach NSW 2026"
156,706542,Beacon Hill,Sydney,NSW,Australia,-33.75376,151.26013,"176 Warringah Rd, Beacon Hill NSW 2100"
157,708819,Pymble,Sydney,NSW,Australia,-33.74941,151.14481,"5 Bridge St, Pymble NSW 2073"
158,709066,Kingsford,Sydney,NSW,Australia,-33.92712,151.22326999999999,"4A Astrolabe Rd, Daceyville NSW 2032"
159,714131,Surry Hills,Sydney,NSW,Australia,-33.88687,151.20887,"117 Devonshire St, Surry Hills NSW 2010"
160,718428,Horsley Park,Sydney,NSW,Australia,-33.85631,150.8302,"272 Garfield Rd, Horsley Park NSW 2175"
161,718597,Balgowlah,Sydney,NSW,Australia,-33.80125,151.26575,"5 Gourlay Ave, Balgowlah NSW 2093"
162,725235,Birchgrove,Sydney,NSW,Australia,-33.84738,151.18481,"115 Louisa Rd, Birchgrove NSW 2041"
163,725541,Redfern,Sydney,NSW,Australia,-33.8921,151.20006999999998,"62 Lawson Square, Redfern NSW 2016"
164,726883,Annandale,Sydney,NSW,Australia,-33.88109,151.16801,"221 Young St, Annandale NSW 2038"
165,728222,Darling Point,Sydney,NSW,Australia,-33.870470000000005,151.23587,"Yarranabbe Park, New Beach Rd, Darling Point NSW 2027"
166,730113,Bronte,Sydney,NSW,Australia,-33.90422,151.25826999999998,"3 Lugar Brae Ave, Bronte NSW 2024"
167,67112,Marrickville,Sydney,NSW,Australia,-33.915,151.1403,"34 Riverside Cres, Marrickville NSW 2204"
168,130970,Redfern,Sydney,NSW,Australia,-33.89338,151.20406,"107 Pitt St, Redfern NSW 2016"
169,196170,Bondi,Sydney,NSW,Australia,-33.8937,151.26738,"6 Castlefield St, Bondi NSW 2026"
170,286949,Dover Heights,Sydney,NSW,Australia,-33.879459999999995,151.27942,"120 Military Rd, Dover Heights NSW 2030"
171,297633,Hornsby,Sydney,NSW,Australia,-33.69359,151.09991000000002,"9 Mildred Ave, Hornsby NSW 2077"
172,324918,Erskineville,Sydney,NSW,Australia,-33.89867,151.1841,"38 John St, Erskineville NSW 2043"
173,340563,Waverton,Sydney,NSW,Australia,-33.837140000000005,151.19659,"19 Tunks St, Waverton NSW 2060"
174,355773,Ultimo,Sydney,NSW,Australia,-33.8817,151.19539,"46 Kelly St, Ultimo NSW 2007"
175,361899,Pennant Hills,Sydney,NSW,Australia,-33.73492,151.07399999999998,"5 Stevens St, Pennant Hills NSW 2120"
176,379498,Surry Hills,Sydney,NSW,Australia,-33.88517,151.21264,"385 Riley St, Surry Hills NSW 2010"
177,413968,Rosehill,Sydney,NSW,Australia,-33.82634,151.01843,"75 Arthur St, Rosehill NSW 2142"
178,465977,Sydney,Sydney,NSW,Australia,-33.8862,151.21163,"100 Cooper St, Surry Hills NSW 2010"
179,475557,Ultimo,Sydney,NSW,Australia,-33.87975,151.20019,"13-17 Systrum St, Ultimo NSW 2007"
180,589989,Bondi,Sydney,NSW,Australia,-33.89414,151.26715,"270-272 Bondi Rd, Bondi NSW 2026"
181,622670,Longueville,Sydney,NSW,Australia,-33.83205,151.16658999999999,"42 Stuart St, Longueville NSW 2066"
182,659320,Bondi,Sydney,NSW,Australia,-33.89342,151.26657,"20 Imperial Ave, Bondi NSW 2026"
